Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,26,2496,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,20,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,54,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,39,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,38,1762,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,38,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,32,1497,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Male,29,1970,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Back,Male,63,1998,Light
2,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,61,1753,Light
2,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,21,1196,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,51,2953,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Back,Female,24,1242,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,40,4500,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,20,1242,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,40,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,26,2179,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,27,1596,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,28,2499,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,53,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,47,1798,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Female,43,1968,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,22,1799,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Moving off,Front,Male,23,7300,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Front,Female,69,1422,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,23,3498,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,48,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,54,1900,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,26,1389,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,26,1497,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Female,40,1598,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,45,2295,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Back,Female,22,1798,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,43,1910,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,38,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Female,19,1171,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,37,6871,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,47,6871,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,29,1587,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Back,Male,36,2664,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Back,Female,38,1405,Light
2,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Moving off,Front,Female,20,1242,Light
2,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Female,35,1896,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1587,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,43,1998,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,42,1242,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,37,5883,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,62,1997,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,27,1242,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,63,2179,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,31,1296,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,U turn,Offside,Female,70,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,26,1493,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,19,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,62,6300,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,25,1242,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,31,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,32,1390,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,56,1391,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Nearside,Male,40,1794,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Rural,Changing lane,Offside,Male,25,1600,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,27,1149,Light
